/home/ubuntu/nanoGPT/train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
Overriding config with config/finetune_poem.py:
import time

out_dir = 'out-poems'
eval_interval = 5
eval_iters = 40
wandb_log = False # feel free to turn on
wandb_project = 'poems'
wandb_run_name = 'ft-' + str(time.time())

dataset = 'poems'
data_dir = "data/poems"
init_from = 'resume'

# only save checkpoints if the validation loss improves
always_save_checkpoint = False

# # match the small model config from train_shakespeare_char.py
# n_layer = 4
# n_head = 2
# n_embd = 384
# dropout = 0.2

# the number of examples per iter:
# 1 batch_size * 32 grad_accum * 1024 tokens = 32,768 tokens/iter
# poems has 400000 tokens, so 1 epoch ~= 12.2 iters
batch_size = 1
gradient_accumulation_steps = 32
max_iters = 30

# finetune at constant LR
learning_rate = 3e-5
decay_lr = False
tokens per iteration will be: 32,768
Resuming training from out-poems
number of parameters: 1555.97M
num decayed parameter tensors: 194, with 1,556,609,600 parameters
num non-decayed parameter tensors: 386, with 1,001,600 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 10: train loss 3.4617, val loss 3.6538
iter 10: loss 2.2161, time 52132.73ms, mfu -100.00%
iter 11: loss 3.4871, time 3104.02ms, mfu -100.00%
iter 12: loss 4.0982, time 3145.83ms, mfu -100.00%
iter 13: loss 3.4032, time 3147.88ms, mfu -100.00%
iter 14: loss 2.8689, time 3141.04ms, mfu -100.00%
step 15: train loss 3.0467, val loss 3.5288
iter 15: loss 3.4802, time 5465.89ms, mfu 19.75%
iter 16: loss 2.7788, time 3148.48ms, mfu 21.21%
iter 17: loss 3.3666, time 3145.41ms, mfu 22.52%
iter 18: loss 2.9642, time 3147.78ms, mfu 23.70%
iter 19: loss 2.6300, time 3150.81ms, mfu 24.75%
step 20: train loss 2.6785, val loss 3.5042
iter 20: loss 3.3622, time 5487.52ms, mfu 24.24%
iter 21: loss 3.0647, time 3150.61ms, mfu 25.25%
iter 22: loss 3.3119, time 3145.44ms, mfu 26.15%
iter 23: loss 2.8571, time 3146.85ms, mfu 26.97%
iter 24: loss 3.1362, time 3158.34ms, mfu 27.69%
step 25: train loss 2.3043, val loss 3.4880
iter 25: loss 2.2411, time 5503.79ms, mfu 26.88%
iter 26: loss 1.5053, time 3756.03ms, mfu 27.07%
iter 27: loss 1.8078, time 3163.12ms, mfu 27.78%
iter 28: loss 2.7592, time 3143.80ms, mfu 28.43%
iter 29: loss 1.6585, time 3148.15ms, mfu 29.02%
step 30: train loss 2.0144, val loss 3.6740
iter 30: loss 1.8126, time 5500.05ms, mfu 28.08%
training finished in 2m 5.10s
